time,Bx,By,Bz,F
18759.04861111111,21022.1,1705.95,43990.59,48785.35602371473
18759.049305555556,21021.68,1705.55,43990.67,48785.233194828535
18759.05,21021.86,1705.27,43990.65,48785.28293507172
18759.050694444446,21021.6,1705.2,43990.65,48785.16845335783
18759.05138888889,21021.71,1705.09,43990.58,48785.14888742885
18759.052083333332,21021.75,1704.99,43990.58,48785.16262860051
18759.05277777778,21021.58,1705.03,43990.54,48785.05470417042
18759.053472222222,21022.04,1704.92,43990.53,48785.24005935504
18759.054166666665,21021.85,1704.91,43990.5,48785.13078572814
18759.05486111111,21021.87,1704.6,43990.5,48785.12857118346
18759.055555555555,21021.65,1704.37,43990.54,48785.06180493164
18759.05625,21021.47,1704.68,43990.42,48784.88686714052
18759.056944444445,21021.25,1704.99,43990.31,48784.70371293342
18759.057638888888,21020.91,1705.02,43990.26,48784.51317063747
18759.058333333334,21021.04,1705.03,43990.27,48784.578553631065
18759.059027777777,21020.52,1705.4,43990.19,48784.295285127366
18759.05972222222,21020.6,1705.3,43990.17,48784.30822589267
18759.060416666667,21020.38,1705.5,43990.16,48784.211405125745
18759.06111111111,21020.23,1705.38,43990.17,48784.15159481817
18759.061805555557,21020.3,1704.92,43990.32,48784.300937891894
18759.0625,21019.95,1705.13,43990.28,48784.12140028556
18759.063194444443,21019.95,1704.84,43990.33,48784.15635159637
18759.06388888889,21019.54,1704.77,43990.36,48784.00429950477
18759.064583333333,21019.73,1704.55,43990.4,48784.11454700597
18759.06527777778,21019.56,1704.38,43990.46,48784.08946356998
18759.065972222223,21019.45,1704.39,43990.45,48784.03340004903
18759.066666666666,21019.28,1704.65,43990.37,48783.897098097856
18759.067361111112,21019.09,1704.61,43990.4,48783.84088855858
18759.068055555555,21018.9,1704.61,43990.39,48783.75000770441
18759.06875,21018.7,1704.62,43990.39,48783.66418573435
18759.069444444445,21018.26,1704.67,43990.39,48783.4763581748
18759.07013888889,21017.93,1704.9,43990.34,48783.29712935053
18759.070833333335,21017.93,1705.1,43990.3,48783.26804945421
18759.071527777778,21018.0,1705.25,43990.32,48783.32148659929
18759.07222222222,21018.01,1705.31,43990.35,48783.35494488566
18759.072916666668,21017.94,1705.18,43990.38,48783.347294137166
18759.07361111111,21017.94,1705.14,43990.39,48783.35491348765
18759.074305555554,21017.75,1705.21,43990.38,48783.26648299599
18759.075,21017.62,1705.14,43990.38,48783.20802723412
18759.075694444444,21017.58,1705.08,43990.41,48783.21574917853
18759.07638888889,21017.67,1705.04,43990.42,48783.262143965934
18759.077083333334,21017.55,1704.89,43990.46,48783.24127122141
18759.077777777777,21017.45,1704.86,43990.48,48783.215174407065
