datetime,time,btot,bx,by,bz,density,speed,dst,kp
2023-02-16 13:26:00+00:00,738567.559722,19.82,5.65,17.75,-6.79,12.0,475.0,18.0,5.99
2023-02-16 13:27:00+00:00,738567.560417,19.68,5.46,17.93,-5.97,13.0,472.0,18.0,5.97
2023-02-16 13:28:00+00:00,738567.561111,19.71,6.2,17.66,-6.16,13.0,475.0,18.0,5.95
2023-02-16 13:29:00+00:00,738567.561806,19.66,5.78,17.65,-6.33,13.0,472.0,17.0,5.92
2023-02-16 13:30:00+00:00,738567.5625,19.61,5.52,17.74,-6.28,13.0,470.0,17.0,5.9
2023-02-16 13:31:00+00:00,738567.563194,19.58,5.95,17.69,-5.45,13.0,472.0,16.0,5.88
2023-02-16 13:32:00+00:00,738567.563889,19.61,5.2,18.23,-5.04,13.0,469.0,16.0,5.85
2023-02-16 13:33:00+00:00,738567.564583,19.66,4.81,18.49,-4.56,12.0,469.0,15.0,5.83
2023-02-16 13:34:00+00:00,738567.565278,19.63,4.95,18.51,-4.21,12.0,470.0,15.0,5.81
2023-02-16 13:35:00+00:00,738567.565972,19.53,4.83,18.46,-4.05,12.0,470.0,15.0,5.78
2023-02-16 13:36:00+00:00,738567.566667,19.6,4.77,18.39,-4.79,12.0,470.0,14.0,5.76
2023-02-16 13:37:00+00:00,738567.567361,19.5,4.69,18.13,-5.28,12.0,470.0,14.0,5.74
2023-02-16 13:38:00+00:00,738567.568056,19.63,5.18,18.14,-5.28,12.0,472.0,13.0,5.71
2023-02-16 13:39:00+00:00,738567.56875,19.56,6.66,17.52,-5.52,12.0,476.0,13.0,5.69
2023-02-16 13:40:00+00:00,738567.569444,19.19,6.3,17.31,-5.19,12.0,476.0,13.0,5.67
2023-02-16 13:41:00+00:00,738567.570139,18.89,1.55,17.26,-6.8,9.0,443.0,12.0,5.64
2023-02-16 13:42:00+00:00,738567.570833,18.8,1.13,17.41,-6.32,9.0,435.0,12.0,5.62
2023-02-16 13:43:00+00:00,738567.571528,18.72,2.76,17.2,-6.57,10.0,442.0,11.0,5.6
2023-02-16 13:44:00+00:00,738567.572222,18.72,-1.91,16.81,-7.84,8.0,422.0,11.0,5.57
2023-02-16 13:45:00+00:00,738567.572917,19.26,-2.18,17.27,-8.18,7.0,429.0,11.0,5.55
2023-02-16 13:46:00+00:00,738567.573611,19.54,-3.59,17.0,-8.93,7.0,426.0,10.0,5.53
2023-02-16 13:47:00+00:00,738567.574306,19.31,-3.95,16.93,-8.46,7.0,421.0,10.0,5.5
2023-02-16 13:48:00+00:00,738567.575,18.81,-3.04,16.22,-8.86,8.0,423.0,9.0,5.48
2023-02-16 13:49:00+00:00,738567.575694,18.58,-1.87,15.81,-9.66,8.0,426.0,9.0,5.46
2023-02-16 13:50:00+00:00,738567.576389,18.32,-2.21,14.88,-10.44,9.0,425.0,8.0,5.43
2023-02-16 13:51:00+00:00,738567.577083,18.44,-3.07,14.27,-11.12,8.0,425.0,8.0,5.41
2023-02-16 13:52:00+00:00,738567.577778,19.13,-5.01,15.23,-10.43,8.0,420.0,8.0,5.39
2023-02-16 13:53:00+00:00,738567.578472,18.97,-5.46,14.82,-10.47,8.0,421.0,7.0,5.36
2023-02-16 13:54:00+00:00,738567.579167,19.04,-5.69,14.74,-10.61,7.0,421.0,7.0,5.34
2023-02-16 13:55:00+00:00,738567.579861,18.97,-5.3,14.65,-10.82,7.0,422.0,6.0,5.32
2023-02-16 13:56:00+00:00,738567.580556,19.0,-5.42,14.71,-10.71,7.0,421.0,6.0,5.29
2023-02-16 13:57:00+00:00,738567.58125,19.0,-6.19,14.33,-10.82,7.0,421.0,6.0,5.27
2023-02-16 13:58:00+00:00,738567.581944,19.38,-6.45,14.85,-10.6,7.0,421.0,5.0,5.25
2023-02-16 13:59:00+00:00,738567.582639,19.57,-6.0,15.07,-10.92,7.0,420.0,5.0,5.22
2023-02-16 14:00:00+00:00,738567.583333,19.56,-6.06,15.17,-10.73,7.0,421.0,4.0,5.2
2023-02-16 14:01:00+00:00,738567.584028,19.26,-5.7,14.64,-11.18,7.0,421.0,4.0,5.16
2023-02-16 14:02:00+00:00,738567.584722,19.22,-5.2,14.56,-11.41,8.0,423.0,4.0,5.12
2023-02-16 14:03:00+00:00,738567.585417,18.92,-5.58,13.98,-11.4,8.0,421.0,4.0,5.08
2023-02-16 14:04:00+00:00,738567.586111,19.13,-5.97,13.8,-11.78,7.0,420.0,4.0,5.04
2023-02-16 14:05:00+00:00,738567.586806,19.44,-5.61,14.17,-12.06,7.0,422.0,4.0,5.0
2023-02-16 14:06:00+00:00,738567.5875,19.56,-6.22,12.96,-13.23,6.0,422.0,4.0,4.96
2023-02-16 14:07:00+00:00,738567.588194,18.73,-5.9,11.32,-13.72,7.0,422.0,4.0,4.92
2023-02-16 14:08:00+00:00,738567.588889,18.49,-4.88,11.02,-14.02,8.0,425.0,4.0,4.88
2023-02-16 14:09:00+00:00,738567.589583,18.4,-5.74,11.57,-13.07,7.0,422.0,4.0,4.84
2023-02-16 14:10:00+00:00,738567.590278,18.17,-5.77,11.0,-13.23,7.0,423.0,4.0,4.8
2023-02-16 14:11:00+00:00,738567.590972,17.0,-5.65,9.83,-12.64,7.0,422.0,4.0,4.76
2023-02-16 14:12:00+00:00,738567.591667,16.71,-4.45,10.42,-12.13,8.0,423.0,4.0,4.72
2023-02-16 14:13:00+00:00,738567.592361,15.08,0.73,13.52,-3.61,8.0,437.0,4.0,4.68
2023-02-16 14:14:00+00:00,738567.593056,9.29,2.75,8.21,1.26,10.0,459.0,4.0,4.64
2023-02-16 14:15:00+00:00,738567.59375,8.97,-2.42,-2.24,-7.08,11.0,450.0,3.0,4.6
2023-02-16 14:16:00+00:00,738567.594444,9.82,-0.36,-0.07,-9.68,13.0,459.0,3.0,4.56
2023-02-16 14:17:00+00:00,738567.595139,11.43,-0.61,-1.5,-11.28,14.0,459.0,3.0,4.52
